id;name;created;last_updated;short_name;description;dimension_item_type;period_type;mobile;version;expiry_days;timely_days;notify_completing_user;open_future_periods;open_periods_after_co_end_date;field_combination_required;valid_complete_only;no_value_requires_comment;skip_offline;data_element_decoration;render_as_tabs;render_horizontally;compulsory_fields_complete_only;form_type;display_name;dimension_item;display_short_name;display_description;display_form_name;data_set_elements_count;indicators_count;organisation_units_count;data_set_elements_content;indicators_content;organisation_units_content;track;created_by_id;last_updated_by_id
58edd53d-69f7-4b5f-99c4-778115446e8a;de manière à ce que;2024-08-16T20:52:08;2024-08-17T08:39:15;comme biathlète à l'exception de;près de;solitaire;proche de orange antagoniste;désigner avare;19657.01;32325.44;27067.01;zzzz dans la mesure où;8207.53;32391.88;false;false;false;false;true;true;true;false;dès quand;blême échapper;d'après;direction horrible;neutre;hi;8201;19254;17040;sauter;là;envers extatique énorme;NEW;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;1752f566-91b8-4829-bb8e-d3bf22eb2a6c
4c9e8770-68d4-42ae-a3be-47201bff889a;membre du personnel vroum;2024-08-16T20:30:47;2024-08-17T08:57:45;moins vraiment;rédaction calme à bas de;hors de main-d’œuvre;chef de cuisine;mêler céans;11972.83;4231.07;5419.72;touriste au défaut de oh;27741.42;6768.71;false;false;true;false;false;false;false;true;libérer trop debout;contre cocorico;suivant tellement;vide débile;réagir dans la mesure où;innombrable exprimer;6337;3659;21749;sincère;arracher vouh par rapport à;autant;UPDATE;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e
d79408b3-cfe4-4595-be33-7b774be8103d;auprès de;2024-08-16T23:42:51;2024-08-17T01:51:56;communiquer toc smack;direction;chez sans que;bien que de façon à ce que concernant;zzzz;6961.68;17289.17;5410.32;combien entre;28245.8;25278.35;false;false;true;false;false;false;false;false;secours perfectionner coupable;membre titulaire mériter ajouter;pff mater;commissionnaire;suffisamment;intrépide divinement;31316;12405;19335;assurément à moins de;areu areu raide;cuicui;NONE;1574248c-b43d-4f79-ac61-39f47f36d4c7;1574248c-b43d-4f79-ac61-39f47f36d4c7
64ed9cc9-58fb-4ccb-9454-28084224f0b6;admirablement;2024-08-17T08:04:44;2024-08-16T19:40:09;patientèle;égoïste vivre;à condition que rapide psitt;oui;toc-toc trancher hypocrite;15814.22;22616.41;14023.86;ôter payer;3182.36;32444.72;true;false;true;false;false;true;true;true;hôte main-d’œuvre;loufoque parce que;oups au-dessus administration;de peur que conquérir soulager;occuper conseil municipal;rudement;28675;5281;436;bè lors de succéder;quitte à membre à vie lors;espiègle si bien que encore;NEW;36bd2084-ccac-4769-8634-2cade8384af0;36bd2084-ccac-4769-8634-2cade8384af0
26d671b3-ed4c-413f-997d-6305639c77b7;même si;2024-08-17T11:26:56;2024-08-17T09:46:27;depuis lancer;ronron;sauvage;endormir diplomate;reprendre miaou dehors;28114.08;31207.4;814.95;bof;27229.16;3173.75;false;true;false;false;true;false;true;false;plic peut-être comme;verser;trop ha risquer;ramener fonctionnaire gravir;disparaître guide;concurrence coac coac communauté étudiante;29630;24539;24442;arrière multiple;tic-tac;grâce à convaincre;NEW;a0e17b37-5b12-4a6e-b693-ce2befbce889;a0e17b37-5b12-4a6e-b693-ce2befbce889
392e3059-51a4-4270-898f-8985346355a2;parlementaire au cas où sage;2024-08-16T17:35:39;2024-08-17T01:38:54;porte-parole glouglou cocorico;spécialiste;tant combien;chef;un peu psitt population du Québec;16354.5;15700.82;17926.92;population du Québec;18293.06;15443.97;false;false;false;true;false;false;false;false;placer;diététiste rendre super;bof ferme lever;âcre;dorénavant;ah développer;1824;5138;17642;dense;grâce à ouin électorat;responsable parmi;NEW;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7
0c0107c3-ce6a-4acd-8308-6e4710881db6;freiner avant que crac;2024-08-16T17:16:38;2024-08-16T17:18:49;orange;loin terriblement;au lieu de procéder commis;de crainte que diététiste faire;croiser;19896.68;22193.15;4307.55;par rapport à en plus de environ;28859.5;22134.45;true;true;true;true;false;true;true;true;camarade charger guère;quelquefois dans la mesure où de manière à ce que;cot cot lectorat afin que;auprès de d'après;considérable probablement quitte à;contre;19112;21612;1514;chauffer;délégation raisonner;pêcher puisque jamais;UPDATE;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;ddcc59a6-c4a5-40f9-ac8a-1e725e880769
20d4c6ec-33aa-4e87-918d-77027a03106f;quitte à;2024-08-17T10:42:22;2024-08-16T23:43:34;multiple dès;équipe de recherche vérifier;étaler;de;blablabla dehors tellement;25312.74;4040.64;25472.49;de manière à en dépit de;32760.77;15594.29;false;false;true;false;true;true;false;false;concernant commissionnaire ha;aïe gens si bien que;vétuste;intrépide ha tranquille;en face de chauffer;pschitt;13612;2485;21694;concernant admirer adorable;serviable;sus large;NONE;5f3b50ea-8fa3-4c74-8932-9a9966882497;5f3b50ea-8fa3-4c74-8932-9a9966882497
92856a53-523f-4f5b-b28c-e03aeaa2a123;boum précisément de crainte que;2024-08-17T10:52:09;2024-08-16T19:29:58;efficace au cas où encourager;quitte à;préciser;coupable groin groin par;avant;25718.22;2367.13;376.79;bien que;12036.83;13845.42;false;false;true;false;true;false;false;true;aux alentours de exprès;durant personnel;énoncer;tellement si au prix de;puisque rose raide;ah mairie;22841;5306;23799;candide snif;timide vroum cependant;derrière du moment que pourvu que;NONE;e8ed3d22-8845-4dc3-aaae-15f477290bd6;e8ed3d22-8845-4dc3-aaae-15f477290bd6
7706ef9f-d2fb-45e8-b6f2-5cb85d0c4a2b;hi sale;2024-08-16T18:25:57;2024-08-16T21:44:27;loin de exposer;grrr;chef de cuisine;séculaire envahir loin de;hôte aussitôt que;13562.73;31013.42;28265.29;gestionnaire à côté de à l'égard de;25179.01;8253.08;true;true;true;false;true;false;false;true;cuicui;donner;assurément pff;autrement plouf naguère;attirer;diablement prout quand;29948;14668;21787;de façon à;au-devant;cadre dans la mesure où;NONE;89bb291e-d491-4430-9fa6-2a472cc420f5;89bb291e-d491-4430-9fa6-2a472cc420f5
