id;name;short_name;display_short_name;display_name;display_form_name;created;last_updated;public_access;dimension_item_type;annualized;numerator;numerator_description;denominator;denominator_description;display_numerator_description;display_denominator_description;dimension_item;track;created_by_id;last_updated_by_id;indicator_type_id
a5f21c8f-e87f-42c6-805f-cb7dc503a1d8;conseil municipal;à seule fin de mélancolique en guise de;tant que devant;turquoise;magnifique aujourd'hui;2024-08-16T17:42:47;2024-08-17T12:03:10;par suite de pas mal;outre commissionnaire mairie;true;parcourir tsoin-tsoin distraire;délectable;commis au défaut de loin de;dorénavant prendre quoique;jeune enfant;dans la mesure où;à l'encontre de;NONE;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;1752f566-91b8-4829-bb8e-d3bf22eb2a6c;7c0931e7-1d4c-4846-a8f9-257a24453b14
141c14c9-06bd-4755-9e23-bde739c86721;pour que;ici pourvu que;rentrer innombrable grandement;en face de;de à la merci;2024-08-17T05:41:43;2024-08-17T05:47:10;électorat;assez assez;true;hôte;engager;grâce à;ouin toc-toc;séparer énergique;entraîner près;dynamique oups instruire;NONE;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;3c3ed2dc-fc45-4ad0-ab39-20de39d81f6e;a200f511-9cb5-4319-b2f4-b46c076527f2
8800173d-f456-40e6-a4d6-ace10390e1dd;aïe lunatique en plus de;afin que;vouh en faveur de;aïe;équipe dedans actionnaire;2024-08-17T00:40:58;2024-08-17T14:43:36;cueillir;vivace;true;hé;bof;approximativement pour que clocher;responsable;quand vorace;hors aller;pschitt gestionnaire;UPDATE;1574248c-b43d-4f79-ac61-39f47f36d4c7;1574248c-b43d-4f79-ac61-39f47f36d4c7;e6c74888-85b1-4dcb-9e9f-af77658ca7ec
c3ae1300-fce3-4176-9923-a8e6250a6302;faire;secouriste;calme projeter;de crainte que pour que hôte;ouf;2024-08-17T08:13:29;2024-08-17T01:27:34;partir volontiers;évacuer;false;rédaction hormis;admettre ennuyer;bof ensemble épargner;que camarade;à condition que;vlan souvenir hi;avare membre titulaire touriste;UPDATE;36bd2084-ccac-4769-8634-2cade8384af0;36bd2084-ccac-4769-8634-2cade8384af0;724f73c7-ea95-4ea5-b28d-43f5aa5a8471
67cf8abc-5e2c-4218-8d99-1273e12da605;population du Québec circulaire;population du Québec au moyen de;environ;ouin parce que proche;en faveur de au prix de tellement;2024-08-16T23:49:43;2024-08-17T10:02:25;durant;dehors;false;comment communauté étudiante;immense tant que;charitable malade;altruiste membre titulaire;autour de près lectorat;du côté de;donner gigantesque;UPDATE;a0e17b37-5b12-4a6e-b693-ce2befbce889;a0e17b37-5b12-4a6e-b693-ce2befbce889;b7da160a-438d-44b9-9c2f-3bba0dd255a8
dc56017c-57d1-486f-8b67-e2291f065a5b;ah;étant donné que;diablement à l'encontre de coac coac;parlementaire fidèle fonctionnaire;téméraire administration;2024-08-17T03:32:00;2024-08-16T18:22:09;souvent;hé bien que;false;tandis que quoique crac;biathlète;au-dessus de prout;dehors;du moment que;avant;imprimer;NEW;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;9db28592-7ec1-4f8f-bb6e-7ff9564cd8c7;dfbefdad-2c4b-48f6-9cfd-a005e5993663
e402714a-3b49-41f6-87d9-f48a062d3ac8;dans la mesure où membre du personnel si bien que;exécuter illustrer un peu;collègue extrêmement guère;émérite que;pour que fonctionnaire divinement;2024-08-17T12:57:04;2024-08-17T14:55:37;solitaire vlan de façon à ce que;placide ronron cyan;true;drelin vraiment laver;triste au cas où;de transmettre commis;croire mature;membre à vie exprès;énergique lors sitôt;vraisemblablement;NEW;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;ddcc59a6-c4a5-40f9-ac8a-1e725e880769;767b78f7-8628-4ba2-ad57-6fc530ba01dc
ce26c17e-ef5b-4cf7-bc2f-6424d6d11987;claquer corps enseignant;si bien que deviner du moment que;via;présidence avant de;contre quant à de façon que;2024-08-17T01:36:14;2024-08-17T13:25:38;tout;présidence;true;spécialiste areu areu;à l'insu de convaincre tuer;bang;diablement;sitôt que afin que;pourvu que;aïe;UPDATE;5f3b50ea-8fa3-4c74-8932-9a9966882497;5f3b50ea-8fa3-4c74-8932-9a9966882497;5f8528a7-09b3-449b-8676-4e03840e6fd5
d815f85e-96eb-41ed-8558-37e78ffa017f;euh alors que;atchoum administration;appuyer rédaction;saluer dense;chef au prix de jeune enfant;2024-08-17T13:01:22;2024-08-17T07:18:04;beaucoup apte tellement;souple de sorte que;true;joliment;peu bientôt dehors;à l'instar de;oh;en decà de à la merci sous;en dépit de aussitôt que;chef de cuisine considérable;NONE;e8ed3d22-8845-4dc3-aaae-15f477290bd6;e8ed3d22-8845-4dc3-aaae-15f477290bd6;c6b92926-983f-4c49-969f-a58a194d3e6e
ad681607-89db-4b2e-9180-849b79f56b8e;dans la mesure où;ouin électorat administration;clac au cas où hirsute;incalculable;dring;2024-08-17T01:13:31;2024-08-17T07:21:39;procéder de manière à;sous couleur de extatique immense;true;appartenir d'avec;autant ah comme;manifester marron diablement;vorace dès que égoïste;à condition que conseil d’administration enlever;de sorte que;de peur de livrer toujours;NEW;89bb291e-d491-4430-9fa6-2a472cc420f5;89bb291e-d491-4430-9fa6-2a472cc420f5;6d3aaebd-7275-4083-be09-bec36f5f4d1b
