id;name;created;last_updated;short_name;dimension_item_type;expression;filter;analytics_type;dimension_item;display_short_name;display_name;display_form_name;track;created_by_id;last_updated_by_id;program_id
025b3996-0d51-466c-b48b-36c707772dbb;Exclusive;2024-08-23T12:48:43;2024-08-23T13:40:46;Superviseur Zambie driver;Krone b;b;compressing;wireless;overriding Electronics Garden;navigate models;Refined;markets;UPDATE;6a272c05-b3a5-472d-9736-c1991e149d2d;6a272c05-b3a5-472d-9736-c1991e149d2d;5a8d112f-e6ef-4c85-beb9-433460e08757
15c54d34-77cb-4fc6-b144-1306ef126f00;compressing Fantastic;2024-08-22T22:51:59;2024-08-23T14:46:53;Île-de-France Canada;generate programming;Movies Awesome;network;implement Berkshire Phased;c Metal extend;demand-driven;programming Metal virtual;Designer;UPDATE;d1917eee-bb29-489c-a08a-54a0f94df77f;d1917eee-bb29-489c-a08a-54a0f94df77f;fa0fca9f-6399-447f-80e9-b621b0e4b723
864cea15-5036-4f49-8483-9e7fe2f665f7;Fantastic Coordinateur Provence-Alpes-Côte;2024-08-23T06:23:55;2024-08-23T21:29:28;even-keeled lime;blue;Basse-Normandie Steel;Shoes;Ergonomic virtual b;Baby;cross-media concept payment;payment Savings;Suisse Gorgeous a;UPDATE;10876a9a-97a5-432d-9f5b-0422e18b9e0b;10876a9a-97a5-432d-9f5b-0422e18b9e0b;e3b32637-e05c-42a2-9284-55c53da2c359
71356629-0de1-4dac-9e4b-c907dc541de4;Market Developpeur;2024-08-23T03:38:53;2024-08-23T16:22:11;Steel;Midi-Pyrénées SMTP;Gorgeous;a engine;redundant payment;driver;integrate;Administrateur leading-edge Zadkine;Agent;NEW;d2d5b32d-e441-4aba-812a-c44f2d4a84ac;d2d5b32d-e441-4aba-812a-c44f2d4a84ac;bdc7c9cf-4fc0-45b1-9b94-4dc541c2797b
296edef8-1c20-4148-83f2-d37d97cc1dea;data-warehouse;2024-08-23T18:17:54;2024-08-23T19:55:02;multi-byte c;architectures;Plastic Small;la Mali;turquoise transmitter;Pastourelle;maroon COM;transmit productivity;generate Nord-Pas-de-Calais;NEW;6d3707aa-1b3b-4102-bc50-78a5b9f31418;6d3707aa-1b3b-4102-bc50-78a5b9f31418;06737fb5-1a70-404e-a32a-d3bbf4e583fc
e8c6d95f-22cb-4612-af20-0f3aa5478f66;Music Account Concrete;2024-08-23T16:20:09;2024-08-23T17:06:48;Cross-platform Jewelery d'Azur;a neural AGP;matrix 1080p;b;communities Down-sized;optical Monsieur-le-Prince;navigate Savings end-to-end;withdrawal Fresh;optical c;UPDATE;013f423a-6cb3-44a2-b348-999d8d7cb6bd;013f423a-6cb3-44a2-b348-999d8d7cb6bd;9239db97-fb0c-4be4-bc1d-0c2d05a684f0
1ec8555f-9b53-494a-8c89-7492aceaaf79;back-end;2024-08-23T12:50:18;2024-08-23T15:45:32;Palau Buckinghamshire Towels;didactic Account;payment Pizza d'Argenteuil;Diverse;mobile Superviseur Soft;Frozen distributed override;Bedfordshire;strategize Account complexity;a Île-de-France vortals;NONE;0b22d136-90b2-4587-8236-02c9a21b12fc;0b22d136-90b2-4587-8236-02c9a21b12fc;06f325c2-2f9e-4074-a4d3-422ce636526e
1d9580e6-b7df-4366-8c53-1c7793f31aac;secondary;2024-08-23T00:07:37;2024-08-23T09:25:53;de structure;Concrete Up-sized;24/7 communities deposit;Shoes;Quality-focused Steel b;Gloves Steel seize;invoice;la d'Orsel;olive THX;NONE;5ed36a51-855e-49d1-96eb-43a8b3f308ee;5ed36a51-855e-49d1-96eb-43a8b3f308ee;2490a29c-8b33-40c2-82a1-e838a449f728
88bd8ee5-47ad-4112-b7c0-eac515f66e4a;Sausages Upgradable Home;2024-08-23T05:32:09;2024-08-23T06:58:12;c invoice;front-end;time-frame generating Avon;Home SMTP hacking;a deposit Sainte-Lucie;withdrawal Bedfordshire;c Fantastic intelligence;Caumartin engage Granite;a Hat e-business;NONE;ca661a45-cf2c-4df9-b8a1-2768842fcbd4;ca661a45-cf2c-4df9-b8a1-2768842fcbd4;2eed754c-da94-4c32-b48d-616e084458cd
061d5f8d-c4b8-49b7-814b-8ec02eb11b26;Clothing;2024-08-23T07:22:42;2024-08-23T02:23:25;Seamless niches;state task-force copying;Lorraine;Fresh;functionalities system Home;Plastic Designer;Credit bypassing;redundant responsive c;XSS Borders;UPDATE;c3050b70-fa14-4f55-9ca3-49272af5fb46;c3050b70-fa14-4f55-9ca3-49272af5fb46;fd6a7673-b85b-4261-b387-4941bc14ea31
