id;project_name;dhis_2_url;dhis_2_version;token;email_notification;notification_time
1;contextually-based Alsace Fresh;Table Moldavie;3599;Soft functionalities;false;Concrete USB
2;benchmark European;redefine Keyboard;62514;Grenade digital;true;Berkshire Tools action-items
3;bypassing;Beauty ROI turquoise;95809;neural;false;Paris Buckinghamshire Keyboard
4;Midi-Pyrénées;Picardie a Presbourg;29083;Euro;true;équatoriale technologies Ringgit
5;c;Gloves violet Account;14251;product;true;input
6;actuating a quantifying;digital parsing;94735;bandwidth Developpeur;false;auxiliary payment Pakistan
7;Pants bluetooth Borders;c;91831;Plastic;false;matrix
8;Metal matrix back-end;Cross-group compelling;10615;orange vortals;false;online teal
9;hub c;open-source Architecte;13221;program salmon Bedfordshire;true;exuding
10;Oberkampf Technicien;channels definition blue;70919;Avon Sri;true;Borders
