id;last_updated;created;name;short_name;generated;value_type;confidential;display_form_name;uniquee;dimension_item_type;aggregation_type;display_in_list_no_program;display_name;patterne;skip_synchronization;display_short_name;period_offset;display_on_visit_schedule;form_name;orgunit_scope;dimension_item;inherit;option_set_value;track;created_by_id;last_updated_by_id
b751b0f7-aaf3-4daf-8f17-f729a5ccfbc0;2024-08-23T12:13:48;2024-08-23T18:52:30;Manat;d'Abbeville Cotton;true;Jewelery calculate Shirt;false;Intelligent;true;b;Vaneau;false;Architecte orchestration;b mobile;true;Concrete;32125;true;user-centric overriding;true;transmitting transparent Tanzanie;false;false;UPDATE;6a272c05-b3a5-472d-9736-c1991e149d2d;6a272c05-b3a5-472d-9736-c1991e149d2d
5601351a-5b5e-443d-8445-cdd26f6cbac1;2024-08-23T19:31:03;2024-08-23T11:35:39;Bedfordshire Philippine;Comores exuding Handcrafted;false;c tangible;false;Chips Bangladesh;false;withdrawal Automotive;Soap markets;false;Berkshire;Borders;true;Zimbabwe Designer SAS;6746;false;implement;false;b;false;false;UPDATE;d1917eee-bb29-489c-a08a-54a0f94df77f;d1917eee-bb29-489c-a08a-54a0f94df77f
87fb7878-6969-4c50-ad8d-a4598d67488e;2024-08-23T18:39:52;2024-08-23T01:55:24;SSL;redundant;true;copy;true;a withdrawal b;true;synthesize Keyboard;Forint context-sensitive Interface;true;maroon GB Oberkampf;interface;true;a Nord-Pas-de-Calais Montorgueil;93109;true;Cross-group Cotton;true;ROI Pataca;false;false;NONE;10876a9a-97a5-432d-9f5b-0422e18b9e0b;10876a9a-97a5-432d-9f5b-0422e18b9e0b
ad134546-08d5-4545-9728-e78e4778fbad;2024-08-23T17:50:32;2024-08-23T02:23:57;Shoes;a;true;Grocery;false;Augustins transmitting;false;Granite bleeding-edge;c;true;next Clothing Tuna;turquoise;true;calculating unleash;8360;false;Savings Account;true;Bourgogne a;false;true;NONE;d2d5b32d-e441-4aba-812a-c44f2d4a84ac;d2d5b32d-e441-4aba-812a-c44f2d4a84ac
2db3517c-3ce5-476c-980c-237c7a2342c0;2024-08-23T01:53:29;2024-08-23T15:15:46;Rustic;Awesome parsing Botswana;true;Games;true;Account;true;methodologies;compress Profit-focused portals;false;Croatie Designer user-centric;action-items cross-media;false;Dahomey;14962;true;deposit Frozen;false;Rhône-Alpes Handcrafted;true;true;UPDATE;6d3707aa-1b3b-4102-bc50-78a5b9f31418;6d3707aa-1b3b-4102-bc50-78a5b9f31418
89f706b2-1d59-4557-bf81-d04d0e68a871;2024-08-23T07:25:08;2024-08-23T05:57:16;eco-centric overriding invoice;orchid b;true;Tchad Awesome Malawi;false;Bacon;true;SMS data-warehouse;Investment Wooden;false;Extended Montorgueil leading;b;false;Saint-Séverin Rustic;92483;true;calculating c;true;quantify Steel;false;true;UPDATE;013f423a-6cb3-44a2-b348-999d8d7cb6bd;013f423a-6cb3-44a2-b348-999d8d7cb6bd
d1e2d274-5a7c-4039-92af-cf8ee00b126b;2024-08-23T04:23:51;2024-08-23T05:43:27;Awesome foreground action-items;Cotton Electronics Towels;false;Bangladesh quantify software;true;Ingenieur Alsace out-of-the-box;false;Refined copy;Manager card Practical;true;Berkshire;24/7 robust Designer;false;human-resource Avon harness;1039;false;incentivize;false;Zambie;true;false;UPDATE;0b22d136-90b2-4587-8236-02c9a21b12fc;0b22d136-90b2-4587-8236-02c9a21b12fc
9a24a747-bb21-42f6-850d-823cc236ac8e;2024-08-23T17:55:26;2024-08-23T17:06:30;Borders;a;true;Lesotho Expanded Euro;true;Granite;true;productivity Account capacitor;high-level Gloves;false;Stagiaire Steel;Chat-qui-Pêche applications;true;copying haptic plug-and-play;25520;false;Fish b;true;a;true;false;UPDATE;5ed36a51-855e-49d1-96eb-43a8b3f308ee;5ed36a51-855e-49d1-96eb-43a8b3f308ee
74a0a4ee-249c-437d-9917-b9cf181c6a2b;2024-08-23T20:23:04;2024-08-23T02:52:09;invoice Singapour;open-source;true;Liberian teal transmitting;false;Wooden c next-generation;false;calculate d'Orsel Salvador;Rustic holistic;true;red Islands;transform application;true;User-friendly maximized;44044;true;a;false;driver;true;true;NONE;ca661a45-cf2c-4df9-b8a1-2768842fcbd4;ca661a45-cf2c-4df9-b8a1-2768842fcbd4
d71f2974-e48b-4e07-84f9-dce4ae6722f2;2024-08-23T01:43:04;2024-08-23T11:55:53;user-facing Vision-oriented Steel;Cambridgeshire bypassing;false;payment;false;Computer Awesome;true;eyeballs Autriche;Bedfordshire Chips;true;Poitou-Charentes Rivoli;backing Open-architected Australie;false;conglomeration Laffitte Up-sized;27656;true;Account;true;Islande Borders;true;false;NEW;c3050b70-fa14-4f55-9ca3-49272af5fb46;c3050b70-fa14-4f55-9ca3-49272af5fb46
